Date,Time,Open,High,Low,Close,Volume
2022/8/2,10:59:00,14672,14682,14672,14681,183
2022/8/2,11:00:00,14681,14682,14672,14677,155
2022/8/2,11:01:00,14677,14680,14674,14679,143
2022/8/2,11:02:00,14680,14681,14676,14676,102
2022/8/2,11:03:00,14677,14677,14667,14670,205
2022/8/2,11:04:00,14668,14669,14662,14662,196
2022/8/2,11:05:00,14663,14663,14656,14657,332
2022/8/2,11:06:00,14657,14659,14646,14648,619
2022/8/2,11:07:00,14648,14652,14643,14646,264
2022/8/2,11:08:00,14645,14650,14644,14649,134
2022/8/2,11:09:00,14649,14653,14644,14650,276
2022/8/2,11:10:00,14648,14649,14643,14648,163
2022/8/2,11:11:00,14648,14651,14638,14639,404
2022/8/2,11:12:00,14639,14645,14638,14643,239
2022/8/2,11:13:00,14644,14650,14643,14649,155
2022/8/2,11:14:00,14648,14649,14646,14649,61
2022/8/2,11:15:00,14649,14652,14644,14647,120
2022/8/2,11:16:00,14648,14649,14640,14641,134
2022/8/2,11:17:00,14642,14645,14631,14633,354
2022/8/2,11:18:00,14633,14634,14628,14630,280
2022/8/2,11:19:00,14630,14637,14625,14635,316
2022/8/2,11:20:00,14635,14638,14632,14638,132
2022/8/2,11:21:00,14637,14637,14631,14632,105
2022/8/2,11:22:00,14632,14634,14628,14631,172
2022/8/2,11:23:00,14632,14634,14630,14630,99
2022/8/2,11:24:00,14629,14638,14629,14638,116
2022/8/2,11:25:00,14636,14639,14633,14638,145
2022/8/2,11:26:00,14639,14643,14637,14642,188
2022/8/2,11:27:00,14643,14643,14633,14640,136
2022/8/2,11:28:00,14640,14643,14634,14637,95
2022/8/2,11:29:00,14638,14645,14637,14644,95
2022/8/2,11:30:00,14643,14644,14638,14640,89
2022/8/2,11:31:00,14641,14645,14636,14638,111
2022/8/2,11:32:00,14637,14644,14637,14642,154
2022/8/2,11:33:00,14643,14651,14642,14648,228
2022/8/2,11:34:00,14650,14650,14646,14649,86
2022/8/2,11:35:00,14649,14653,14649,14652,169
2022/8/2,11:36:00,14651,14651,14646,14648,128
2022/8/2,11:37:00,14649,14655,14649,14652,190
2022/8/2,11:38:00,14653,14656,14651,14651,137
2022/8/2,11:39:00,14652,14653,14648,14648,62
2022/8/2,11:40:00,14648,14651,14647,14651,112
2022/8/2,11:41:00,14651,14651,14641,14644,155
2022/8/2,11:42:00,14645,14645,14638,14644,151
2022/8/2,11:43:00,14643,14643,14638,14639,86
2022/8/2,11:44:00,14638,14641,14637,14641,82
2022/8/2,11:45:00,14642,14644,14636,14638,138
2022/8/2,11:46:00,14637,14639,14632,14634,249
2022/8/2,11:47:00,14634,14636,14632,14633,99
2022/8/2,11:48:00,14634,14636,14630,14631,147
2022/8/2,11:49:00,14630,14633,14628,14629,251
2022/8/2,11:50:00,14629,14630,14626,14626,210
2022/8/2,11:51:00,14628,14630,14625,14628,187
2022/8/2,11:52:00,14628,14632,14626,14630,157
2022/8/2,11:53:00,14631,14633,14630,14633,111
2022/8/2,11:54:00,14633,14634,14628,14630,207
2022/8/2,11:55:00,14631,14633,14626,14628,144
2022/8/2,11:56:00,14628,14629,14626,14628,138
2022/8/2,11:57:00,14628,14628,14620,14622,349
2022/8/2,11:58:00,14622,14626,14620,14624,198
2022/8/2,11:59:00,14624,14630,14623,14630,131
2022/8/2,12:00:00,14629,14630,14626,14628,104
2022/8/2,12:01:00,14628,14633,14627,14630,162
2022/8/2,12:02:00,14631,14632,14626,14626,103
2022/8/2,12:03:00,14627,14629,14626,14628,69
2022/8/2,12:04:00,14628,14631,14627,14629,89
2022/8/2,12:05:00,14629,14630,14623,14623,88
2022/8/2,12:06:00,14623,14626,14623,14623,71
2022/8/2,12:07:00,14624,14629,14622,14629,122
2022/8/2,12:08:00,14629,14629,14626,14628,86
2022/8/2,12:09:00,14629,14630,14621,14621,142
2022/8/2,12:10:00,14622,14625,14618,14622,212
2022/8/2,12:11:00,14625,14628,14624,14626,117
2022/8/2,12:12:00,14626,14631,14625,14629,162
2022/8/2,12:13:00,14630,14631,14626,14627,102
2022/8/2,12:14:00,14627,14629,14622,14623,164
2022/8/2,12:15:00,14623,14627,14623,14626,81
2022/8/2,12:16:00,14626,14629,14625,14627,131
2022/8/2,12:17:00,14626,14629,14625,14625,91
2022/8/2,12:18:00,14625,14626,14620,14623,167
2022/8/2,12:19:00,14623,14625,14622,14622,56
2022/8/2,12:20:00,14623,14627,14620,14620,133
2022/8/2,12:21:00,14620,14625,14620,14625,54
2022/8/2,12:22:00,14624,14626,14621,14621,74
2022/8/2,12:23:00,14621,14624,14621,14621,75
2022/8/2,12:24:00,14622,14623,14615,14620,230
2022/8/2,12:25:00,14620,14623,14617,14619,93
2022/8/2,12:26:00,14619,14622,14618,14619,92
2022/8/2,12:27:00,14620,14625,14620,14625,72
2022/8/2,12:28:00,14625,14628,14623,14625,116
2022/8/2,12:29:00,14626,14630,14625,14629,54
2022/8/2,12:30:00,14630,14635,14629,14633,243
2022/8/2,12:31:00,14634,14650,14632,14650,630
2022/8/2,12:32:00,14650,14660,14648,14658,657
2022/8/2,12:33:00,14660,14662,14650,14655,345
2022/8/2,12:34:00,14656,14657,14648,14648,257
2022/8/2,12:35:00,14648,14652,14648,14651,157
2022/8/2,12:36:00,14651,14655,14650,14652,186
2022/8/2,12:37:00,14652,14655,14648,14648,101
2022/8/2,12:38:00,14649,14650,14646,14648,85
2022/8/2,12:39:00,14648,14652,14648,14652,91
2022/8/2,12:40:00,14652,14653,14647,14648,91
2022/8/2,12:41:00,14648,14650,14647,14649,59
2022/8/2,12:42:00,14648,14649,14643,14643,119
2022/8/2,12:43:00,14643,14644,14638,14639,166
2022/8/2,12:44:00,14639,14640,14635,14637,322
2022/8/2,12:45:00,14636,14636,14634,14634,103
2022/8/2,12:46:00,14634,14637,14633,14635,78
2022/8/2,12:47:00,14636,14641,14635,14639,194
2022/8/2,12:48:00,14638,14639,14634,14638,87
2022/8/2,12:49:00,14638,14642,14636,14641,92
2022/8/2,12:50:00,14641,14648,14640,14647,217
2022/8/2,12:51:00,14648,14648,14637,14638,160
2022/8/2,12:52:00,14639,14641,14635,14641,138
2022/8/2,12:53:00,14639,14640,14638,14640,28
